"identifier","sortkey","language","title","content"
"ccs00123","050.117","en","Tooth restoration","Dental caries and fractures are the most common reasons for tooth restoration. Patients with high caries activity have an increased treatment need. Prophylactic measures such as diet counselling, optimized self-care and fluoride use, must always be included in the treatment. Tooth restoration is indicated in primary teeth with dentin decay and in permanent teeth with cavitation on the surface and decay deeper than one third of the dentin. Primary teeth can be restored with composites, glass-ionomers, compomers or stainless steel crowns. For permanent teeth direct composite or indirect restorations are recommended."
"ccs00080","050.087","en","Sexually transmitted infections","The updated Finnish Current Care guidelines provide advice on the management of STIs including the use of appropriate diagnostic methods and therapeutic regimens. Early and appropriate therapy has the potential to significantly reduce the long-term complications of STIs. Prevention of infections by counseling and treatment of partners contribute to the sexual health of patients."
"ccs00043","050.064","en","Borderline personality disorder","Borderline personality disorder is a severe disorder that increases disability to a considerable extent. Emotional instability, difficulties in regulating behavior and interpersonal relationships are essential features of the disorder. Borderline personality disorder has a more favorable course than previously thought. Dialectic behavioral therapy, cognitive therapy, mentalization therapy and transference-focused psychotherapy seem to be effective. Hospital treatment should be carried out primarily in day hospital settings. Antipsychotics and to a lesser extent mood stabilizers may be used for a range of symptoms. SSRIs may be useful in the treatment of impulsivity and aggression. Benzodiazepines should be avoided."
"ccs00056","050.074","en","Third molar","The main problem related to third molars is partial eruption followed by local infection with symptoms concerning mainly young adults. Indications for extraction are symptoms, clinical or radiological pathology, other dental or general disease, and preventive removal. Ibuprofen is recommended as postoperative analgesic. Antibiotics are useful in the prevention of postoperative infections but should be targeted to demanding operations and patients with an increased risk for infectious complications. Prevention of nerve injuries is emphasized, and several methods are presented from coronectomy to centralizing difficult procedures to experts."
"ccs00042","050.065","en","Resuscitation (newborn)","Every newborn has a right to efficient resuscitation on demand in all Finnish delivery units. All delivery units must have a round-the-clock readiness for emergency C-section and resuscitation of the newborn, and medical doctors capable of these must be immediately available. Every newborn should be evaluated for the need for resuscitation. When needed, resuscitation should be started without delay. Resuscitation of the newborn includes stimulation, ventilation, chest compressions and other hemodynamic support, ventilation being the most important of these. Regular training is required to maintain and improve the resuscitation skills of the personnel."
"ccs00095","038.020","en","Sore throat","Sore throat (pharyngitis) is typically a viral infection. Patients should be informed, that pharyngitis is usually a mild, self-healing condition. Centor-score is recommended to direct microbiological diagnosis. Rapid test for Streprococcus A is recommended for those with 3 or more Centor-scores (fever over 38°C, swollen submandibular lymph nodes, tonsillar exudate and no cough). If antibiotic is indicated, penicillin is the preferred choice, whereas first generation cephalosporins are recommended for those with penicillin allergy or recurrent streptococcal pharyngitis. Adequate pain medication is important. In epidemic situation the diagnostic test is throat swab."
"ccs00081","050.044","en","Memory disorders","Any complaint about memory should be examined. Diagnosis is based on international criteria. Basic evaluation consists of medical history, clinical evaluation, cognitive tests and brain imaging. When a diagnosis of Alzheimer's disease (AD), AD with cerebrovascular disease or with Lewy Body disease (LBD), or Dementia associated with Parkinson's disease or LBD is made, evidence-based medical therapy (acetylcholine esterase inhibitor or memantine) is indicated as a part of comprehensive care. In frontotemporal degenerations, these drugs are ineffective. For severe behavioural disorders, other psychoactive medications can be applied if non-pharmacological treatments are not sufficient."
"ccs00122","018.020","en","Brain injuries","Annually about 20,000 people suffer a traumatic brain injury (TBI) in Finland. Falls are the most common cause of TBI and the number of injuries is increasing especially among the elderly. Preventive measures should be focused on decreasing the number of fall- and alcohol-related injuries and improving traffic and sports safety. The diagnosis of TBI is based on the acute clinical signs / symptoms and conventional neuroimaging. TBI severity is classified into mild, moderate and severe. Pre-hospital, intensive and surgical care of TBI aims in minimizing the amount of secondary complications. Commonly, the outcome of mild TBI is favourable and patients recover within weeks or months after injury. Patients with moderate and severe TBI require multidisciplinary rehablitation."
"ccs00120","050.111","en","Patient exposed to moisture damage","Moisture damages and dampness in buildings is a risk factor for respiratory symptoms and development of asthma. Diagnostics and care of the patients must be based on general guidelines, regardless of potential moisture damage in home or work place. No laboratory or other clinical tests exist that can be used to associate potential moisture damage to perceived symptoms of the patient. Buildings affected by moisture damages should be remediated, because it is likely to be beneficial to health of the occupants and other users and for the condition of the building."
"ccs00108","050.100","en","Acute lower respiratory tract infection in adults","Pneumonia is recognised in patients suffering from acute cough or deteriorated general condition. Patients with acute cough without pneumonia-related symptoms or clinical findings do not benefit from antimicrobial treatment. Those with suspected or confirmed pneumonia are treated with antibiotics, amoxicillin being the first choice. Most patients with pneumonia can be treated at home. Those with severe symptoms are referred to hospital. Patients are always encouraged to contact his/her physician if the symptoms worsen or do not ameliorate within 2–3 days. Patients aged 50 years or older and smokers are controlled by thoracic radiography in 6–8 weeks."
"ccs00097","050.093","en","Recurrent upper gastrointestinal symptoms","Dyspepsia and gastroesophageal reflux disease (GERD) are common among children and adults. The diagnosis is based on clinical evaluation. Gastroscopy is needed when the symptoms are alarming, occur the first time at the age of 55+ years, or the response for the treatment is incomplete. Helicobacter pylori infection, when diagnosed, should be treated to diminish the risk of gastric ulcer and cancer. Proton pump inhibitors are the first-line medication for dyspepsia and GERD. However, regular medication for dyspepsia is rarely needed. Lifestyle modification should be included in the treatment of GERD."
"ccs00083","050.088","en","Sleep apnea syndrome","Obstructive sleep apnea syndrome (OSAS) is characterized with upper airway collapsibility during sleep resulting in repetitive cessation or significant decrease in inspiratory airflow in the presence of respiratory effort, and accompanied with excessive daytime sleepiness. Diagnosis of OSAS is based on patient history, clinical examination and sleep recording. Untreated OSAS increases the risk of cardiovascular diseases, traffic accidents, lost work days and mortality. In obese patients, weight loss forms the basis of treatment. Continuous positive airway pressure (CPAP) therapy is the treatment of choice in moderate/severe OSAS. In selected cases, oral appliances, positional therapy or surgical treatment are of benefit."
"ccs00054","050.072","en","Epilepsy (Adults)","Exact diagnosis of the epilepsy type and etiology are the basis of the treatment. Patient education improves outcomes. The goal is complete long-term seizure control without significant adverse effects. Antiepileptic medication is usually initiated after the second epileptic seizure. If the patient does not respond to two appropriate drug schedules, patient should be evaluated for surgical treatment options. Some patients may even benefit from ketogenic diet. Pregnancy should always be planned."
"ccs00040","050.062","en","Psoriasis and arthritic psoriasis","Psoriasis is a chronic, immune-mediated, inflammatory disorder of the skin and joints. Severe cases are associated with an independent risk of comorbidity (cardiovascular diseases and diabetes) even after adjusting for risk factors, known to be more prevalent in psoriatics compared to normal population. The systemic inflammation behind, analogous to that observed in rheumatoid arthritis, calls for a long-term effective treatment. Screening and treatment of cardiovascular risk factors is highly recommended. The biologic drug arsenal has new additions."
"ccs00068","006.040","en","Chronic obstructive pulmonary disease (COPD)","COPD diagnosis is based on exposure to hazards, symptoms and spirometry, where the ratio of the forced expiratory volume in 1 second and forced vital capacity (FEV1/FVC) is &lt; 0.7 after bronchodilation. The clinical severity of COPD is assessed by means of FEV1 -based Z-values, symptoms and exacerbations. Symptoms can be assessed by respiratory questionnaires. Smoking cessation and physical activity are important treatment options. Pharmacological treatment is determined by symptoms, risk of exacerbations and co-occurrence of asthma features (ACO). Non-invasive ventilation (NIV) is recommended in the treatment of severe hypercapnic exacerbations. Palliative treatment of end stage COPD is included in the guidelines."
"ccs00069","020.010","en","Neck pain (adults)","Neck pain is usually non-specific, but serious illness or specific reasons for neck pain need to be ruled out. Patients are encouraged to continue their daily activities. Acute neck pain often disappears without any special treatment. Patient information is important. If pain medication is needed, paracetamol is the primary choice. Multidisciplinary treatment is recommended if disabling pain does not improve during the first two months. Neck-specific exercises are recommended in the chronic phase."
"ccs00041","026.001","en","Ectopic pregnancy","Ectopic pregnancy should be suspected if a woman of fertile age has lower abdominal pain and irregular vaginal bleeding. Symptoms range from almost none to shock. The diagnosis is based on a quantitative serum pregnancy test (hCG) and transvaginal ultrasound. An acute situation requires emergency surgery, whereas patients with mild symptoms should be treated policlinically by follow-up or a single intramuscular dose (1mg/kg) of methotrexate. No folic acid supplementation is needed. In later pregnancies their location should be verified by transvaginal ultrasound done by the seventh gestational week at the latest."
"ccs00055","050.025","en","Dyslipidaemias","The updated guideline on dyslipidaemia is in concordance with European guidelines (2019). Management of dyslipidaemias aims to reduce the risk of atherosclerotic diseases, determined by cardiovascular risk assessment. Therapeutic targets for plasma LDL cholesterol range from concentrations &lt; 1.4 to &lt; 1.8 mmol/l (persons at very high or high risk), and from &lt; 2.6 mmol/l to &lt; 3.0 mmol/l (moderate or low risk). Changes in lifestyle (diet, physical activity and nonsmoking) are the cornerstones. Drugs, mainly statins, ezetimibe, PCSK9 inhibitors, and in some cases fibrates or resins are initiated as appropriate to reach the targets."
"ccs00082","050.086","en","Periodontitis","Periodontitis is common in the adult Finnish population. Also the prevalence of peri-implant diseases increases. Due to minor symptoms, affected patients seldom seek dental care but require attention through the health care system. A careful periodontal screening, including risk assessment, is essential. Individual brushing and interdental cleaning instructions, as well as tobacco counselling, are important in preventing and treating these diseases. When detecting early signs of periodontitis, periodontal treatment, including necessary maintenance visits, is crucial in preventing the severe form of the disease and its harmful consequences for the patient's dentition and general health."
"ccs00096","011.010","en","Benign prostatic hyperplasia","Most benign prostatic hyperplasia (BPH) patients can be diagnosed and treated in primary care. Evaluation requires a history, a symptom score (DAN-PSS or IPSS) and a careful physical examination including a digital rectal examination. Careful follow-up and medical therapy are the usual first-line management options in uncomplicated BPH. Combination therapy with both alpha-blocker and 5alpha-reductase inhibitor is the most effective medical treatment modality. Transurethral resection (TURP) is a safe and effective way of treating BPH. The green laser is an endoscopic treatment option for TURP or open resection."
"ccs00109","050.102","en","Stable Coronary Artery Disease","This guideline covers coronary heart disease symptoms, diagnosis and treatment. Stable coronary heart disease refers to a disease in, which patients have stable symptoms and evidence of ischemia or significant stenosis of coronary artery. Diagnosis is based on medical history and exercise test, which is the primary diagnostic test. Coronary angiography is in selected cases necessary to confirm the diagnosis and assess invasive treatment. Pharmacotherapy aims to improve the survival of the patient, relieve symptoms and improve quality of life. The guideline also deals with invasive treatment either with PCI or CABG. Tuula Meinander (Current Care Editor)"
"ccs00121","050.113","en","Heart failure","Treatment of heart failure depends on etiology, left ventricular function and severity of symptoms. Appropriate diagnosis and treatment involves close collaboration between health care providers. In heart failure with reduced ejection fraction, pharmacological treatment and device therapies are based on solid scientific evidence. Less data exist on treatment of heart failure with preserved ejection fraction, where management of underlying diseases contributing to the syndrome is the primary goal. Patient education and self-care may reduce the need for hospitalizations and improve quality of life. Physical exercise reduces symptoms and improves exercise tolerance."
"ccs00032","050.056","en","Diabetes","Current Care Guideline Type 2 Diabetes and Insulin-deficient Diabetes About 500,000 people suffer from diabetes in Finland, a number which is predicted to increase within the next decades. At the moment, diabetes can neither be prevented nor cured. Diabetes is associated with microvascular (kidney, eye and peripheral nerves) and macrovascular complications (coronary heart disease, stroke). These complications affect the quality of life of patients and account for a substantial proportion of healthcare costs in Finland. The current guidelines offer recommendations for the diagnosis, screening, prevention and treatment of diabetes and its complications. The current update provides a partly separate recommendation regarding insulin-deficient diabetes (including type 1 diabetes, secondary diabetes and genetic forms of diabetes). Tuula Meinander (Current Care Editor)"
"ccs00026","040.020","en","Tobacco and nicotine dependency, prevention and treatment","Tobacco dependency is a severe disease, which causes serious health hazards. Prevention of smoking should target families and children at the age of 10–16 years. Health care professionals should evaluate smoking status, motivation to cessation, and physical and psychological dependence, especially when treating patients with tobacco associated diseases. In cessation brief interventions, motivational interviewing and medications (varenicline, bupropion, nortriptyline, nicotine replacement) should be used. Cessation support 1–2 weeks, 1 and 3 months after cessation start should be organized with strong craving even more often. Group support helps many in cessation."
"ccs00027","010.050","en","Urinary tract infections","The guideline is focused on the diagnostics and treatment of acute, recurrent and relapsing urinary tract infections in adults and children. Sexually transmitted diseases must be considered in differential diagnostics. Diagnosis and management of acute cystitis in otherwise healthy women aged 18–65 years can be based on structured interviews. The resistance prevalence of the causative microbes and the adverse effects of antimicrobial agents were considered important factors in selecting optimal therapeutic choices. Primary antimicrobial drugs for women are nitrofurantoin, pivmesillinam and trimetoprim for three days or single dose fosfomycin."
"ccs00033","050.055","en","Repetitive strain injuries of the hand and forearm","Repetitive strain injuries of the upper extremities refer to pain in the forearm, wrist and hand, caused by excessive strain. Diagnoses include tenosynovitis, epicondylitis and carpal tunnel syndrome. Treatment is aimed at alleviating pain, restoring normal physical functioning and maintaining ability to work. Preventive interventions have shown some attenuation of discomfort but no effects on disease prevalence or sick leave days. Return to work interventions seem to decrease length of sickness absences. Part time work has hastened return to work and decreased sickness absences in musculoskeletal disorders."
"ccs00019","050.043","en","Diabetic retinopathy","Good treatment of diabetes decreases the risk of diabetic retinopathy. The goals of the treatment are adequate glucose balance, blood pressure and prevention of metabolic syndrome. Every patient with diabetes should regularly be screened for diabetic retinopathy. Timely and efficient treatment of retinopathy significantly decreases the risk of visual impairment."
"ccs00025","050.050","en","Urinary incontinence (women)","Risk factors for urinary incontinence in women are overweight and obesity, pregnancy and child birth, smoking, diabetes, many neurological diseases and, especially among older people, certain medication. Pelvic muscle training reduces stress incontinence. For urge incontinence, anticholinergic drugs and mirabegron are equally effective, but have a different side-effect profile. For postmenopausal women, intravaginal estrogen treatment is recommended. For stress incontinence, retoropubic and trans-obturator operations are equally effective, and they have no absolute contraindications. Surgical treatment for stress incontinence and conservative treatment for urge incontinence may well be combined."
"ccs00031","050.057","en","Temporomandibular disorders (TMD)","Temporomandibular disorders (TMD) are common. Usual symptoms are joint noises and pain, pain in masticatory muscles, difficulties in jaw movements and headache. Treatment of TMD includes information on the background and good response to treatment of these disorders. The patient is advised on self-care routines, including relaxing the lower jaw, massaging the masticatory muscles and hot or cold packs on painful sites. Pharmacotherapy consists of paracetamol or anti-inflammatory analgesics. Occlusal appliances, physiotherapy, cognitive therapies and acupuncture are recommended. Complicated cases not responding to treatment are referred to specialized care."
"ccs00030","050.054","en","Knee and hip osteoarthritis","The goal of OA treatment is to relieve pain and maintain/improve patient’s functional capacity. First line medication is paracetamol and topical NSAIDs, and oral NSAIDs when needed. Tramadol and codeine may be considered in most severe cases. Glucosamine and chondroitin do not differ from placebo, but intra-articular glucocorticoids and hyaluronate may be useful. Supervised exercise is recommended especially for knee osteoarthritis. Cold, TENS and ultrasound therapies may offer short-term benefits in knee osteoarthritis. Arthroscopic debridement does not alleviate OA symptoms. Arthroplasty is indicated if pain is not otherwise manageable."
"ccs00024","007.025","en","Oral cancer","Incidence of oral squamous cell carcinomas (OSCC), especially of oral tongue, is increasing and survival is poor. Oral potentially malignant disorders (OPMD), e.g. leukoplakia, erythroplakia, proliferative verrucous leukoplakia, lichen planus or lichenoid reactions, may precede OSCC. The main risk factors for OSCC are smoking and alcohol consumption. Fresh vegetables, fruit and fiber rich diet may provide protection from OSCC. Regular clinical examination of oral mucosa is essential to the early detection of OSCC and OPMD. Treatment of OSCC comprises either surgery alone or combined with radiotherapy or chemoradiotherapy. Patients with OPMD or treated OSCC need life-long follow-up."
"ccs00020","050.051","en","Ischemic stroke and TIA","The majority of ischemic strokes can be prevented by managing the main risk factors: hypertension, smoking, abdominal obesity, physical inactivity, unhealthy diet, diabetes, dyslipidemia and atrial fibrillation. The key steps to improve the outcome are early diagnosis of TIA and stroke symptoms, access to thrombolytic and thrombectomy therapy, urgent medical secondary prevention and acute care in a dedicated stroke unit where assessment and rehabilitation are started and carried out by a multi-professional rehabilitation team. Long-term outcome is also improved by reinforced screening of specific etiologies such as atrial fibrillation and carotid stenosis."
"ccs00034","027.050","en","Induced abortion","The rate of induced abortions (9/1 000 women aged 15–49 y in 2011) is low in Finland. Ninety-two per cent of them are performed on grounds of social reasons. Use of medical abortion (combination of mifepristone and misoprostol) has increased to nearly 90 % of abortions, also in abortions of 9–12 weeks of pregnancy. Intrauterine contraception started at the time of abortion lowers the risk of future unplanned pregnancies. Prophylactic antibiotics are recommended in cases of surgical evacuation of the uterus. Written instructions for patients and professionals are introduced in the guideline."
"ccs00009","050.033","en","Menorrhagia","The updated Finnish Current Care guideline states, that diagnosis of menorrhagia is based on an evaluation of the bleeding volume and its harm to the patient. The appropriate treatment of menorrhagia improves patients’ quality of life. Anaemia should be immediately treated. Medical treatment, including an intrauterine system (IUS), tranexamic acid, NSAIDs or contraceptive pills, should usuallyý be tried before surgical treatment. The updated Finnish Current Care guideline states, that diagnosis of menorrhagia is based on an evaluation of the bleeding volume and its harm to the patient. The appropriate treatment of menorrhagia improves patients’ quality of life. Anaemia should be immediately treated. Medical treatment, including an intrauterine system (IUS), tranexamic acid, NSAIDs or contraceptive pills, should usuallyý be tried before surgical treatment."
"ccs00037","050.063","en","Palliative and end-of-life care","The updated Current Care Guideline focuses on medical symptom treatment when curative treatment is no longer possible. Palliative care should be available to all dying patients at all health care levels. The end-of-life treatment, with emphasis on adults and the elderly, but including some principles of children`s end-of-life care are described. More treatment options than before are available for psychosocial symptoms. Treatment options for e.g. pain, dyspnoea, delirium, gastro-intestinal and dermatological symptoms, ascites, dehydration and psychiatric symptoms are evaluated."
"ccs00022","038.050","en","Sinusitis","Patients with common cold have often symptoms similar to sinusitis. Mild or moderate symptoms often resolve in time, but symptomatic treatment (e.g. analgesics, decongestants) may be used. If the patient has severe pain (unilateral), purulent excretion in nose and/or pharynx, pain radiating to teeth or fever, bacterial sinusitis should be suspected. Diagnosis is based on clinical findings. Symptomatic treatment is recommended for patients with mild or moderate symptoms. Those with purulent excretion may benefit from antibiotics. First line treatment for patients with chronic or recurrent sinusitis is conservative."
"ccs00036","050.058","en","Chronic leg ulcers","Chronic leg ulcer is a common disorder affecting 1.3–3.6 % of people at some time of their life. The etiology of the ulcer can often be identified through careful clinical examination. The majority of leg ulcers are caused by venous or arterial insufficiency. The target of ulcer treatment should always be directed to the cause of the ulcer. Correction of the circulatory disorder is essential for ulcer healing. Since the probability of ulcer healing reduces as the ulcer becomes chronic, effective treatment should be initiated immediately. Skin grafting should be considered for ulcers &gt; 20 cm2 and &gt; 6 months duration."
